Subject,factor1,factor2,factor3,factor4
125525,0.3381407866451791,-2.2552667247244376,-0.8721175873367174,-0.8405135622041146
126325,-1.0298059599691396,-0.5479902533049565,1.4754625523303961,0.7939782132413307
126426,1.2249461813452256,-1.7855382941004119,2.1124569804703595,-0.7227625689411439
126628,-0.9207481058684774,-0.1369262553755088,-1.3947929606865601,-0.8756575655566194
127327,0.29092778278098,0.7467038177348502,1.066629616160834,-0.3117141404330655
127630,0.02231137261195377,1.057767170783947,0.8742427710061225,0.10047601022900798
127731,-0.35212393725242846,-1.409311877510018,-0.11565745825499736,-0.8180196189244605
127832,-1.7826951974573173,0.5021066346379692,-0.9834414030839838,-0.4607752183419525
127933,-0.3574317269359121,0.4213792693144395,-0.08275142049341196,3.6914181018831673
128026,-0.08048926563489231,0.7915292888945207,-0.8772651747227809,0.09890563334508023
128127,0.2992470847388858,0.46151125512396957,1.0671339667252329,-0.19873222609046362
128632,-0.8601962083443033,-0.7827889163807782,-0.23043861525978826,-0.4956741308904264
128935,0.16597748854825037,0.6354974202493653,0.2914958345065078,-1.231750283292654
129028,-0.8693815039646313,1.1860549316600417,-1.3857915392048936,0.39604401730875544
129129,1.7307169183534798,-0.17072851461773558,0.0029929729437489457,-0.16096599622233665
129331,-0.19460105170153938,0.7630810949360187,0.1368484726966652,-0.22093558739739244
129634,-0.9902169411063945,-0.473189323856532,-0.7159548424676853,0.2201103258233
130013,-1.1256911292567366,-0.27930664889453605,-0.22382262848326417,0.7592041240547186
130316,0.6513980392240803,-0.005501029339199212,1.9663006586361127,0.8581688822457394
130417,-0.17027974942384774,0.16494297199970143,-0.4018333739336158,-0.9429473582550341
130619,0.9910663671066119,1.3893679717042375,1.4179541127121469,-0.8045671287037622
130720,0.3428252269789944,-0.07771175277115983,-0.16017522214164992,2.378180690994181
130821,-0.024493083562756805,-2.047718556108439,-0.26736911318008816,-0.19036157595451259
130922,-0.13532479181986765,1.9293547596886615,1.3970122312677598,-0.10388749583670442
131217,0.08538102841225342,0.204220382547406,1.0648239150129089,-0.6387829048284794
131419,-0.1972746339539183,-0.04332482935404802,-2.3187449941271834,0.7451311845556556
131722,3.3756269899608595,1.1842639585598105,-0.34315102653827084,0.3398554049890536
131823,0.19559517508040553,0.8727513439687086,-1.2208474750716507,2.0072658010622333
131924,-0.25443401399799676,0.308229447536458,1.1516286801701567,-0.014229337365857455
132017,0.24860302188434505,1.0557421587471985,-1.9452982208608156,-0.849403881259009
132118,-0.012532098399030673,-0.5475994429303068,-2.3920604469494293,-0.4953463585790986
133019,-0.7449526675546077,-0.1331788939212436,-0.3377312441720672,-0.5829376308501127
133625,-0.3445045496382007,1.1380746247482447,-1.4331630966232565,-0.48552442911242444
133827,-0.9074945394149496,-1.2154070664181689,-0.06831969940741683,-0.11048646507308009
133928,0.4958683414608305,-1.0576787039045241,-0.1905188387186717,-0.47323962025211563
134021,-1.4806257071267337,-0.937464109762538,-0.7383725959845058,-0.2297274292036389
134223,0.09388438836681051,1.6241345745598281,-0.5016411455586283,-0.43046178432282617
134324,-1.5337636173706997,-0.08116800783214403,-1.437377086430885,5.662070999338741
134425,-1.2443731928242543,-0.14446977939606306,-0.17943412756365645,0.32157803679169866
134627,-0.6488931297823104,0.08269618564547615,1.640552473599947,0.0023909167294843326
134728,-1.1499309746876114,0.4085286498356031,0.14867453032271202,-0.2862891486671022
134829,0.6603353450911467,-1.4894299088937764,0.03627118278138782,0.07238705235593383
135124,0.784813131729569,0.6524929663913839,-0.09755760899473946,-0.40768971341337046
135225,0.24165919707840067,0.1247655901011346,-0.5507263946418569,-0.12829757938011957
135528,-0.6246047281857514,-1.0095276916265747,0.2273845976475741,-0.5465573426114387
135629,1.5048729988401977,-0.5329095903542364,-0.4292635272229594,-0.6529922509430891
135730,1.094908280717121,-0.37013688683785656,-0.4157219611396187,0.30806605911568785
135932,-0.2669113288795823,0.5741897517775194,0.12228590378848464,-0.42970973023357756
136126,-0.14075942425223315,-0.3645273937183364,-1.320236560650314,-0.7924740318487501
136227,1.0073702481742675,-0.3524351113282659,-1.0766649764107041,1.9368930976347927
136631,-0.38941043112846,-1.0749546781063235,0.136984552477307,0.5740649662901146
136833,-0.43705931347407834,0.33656246056262834,-0.15614212342681838,-0.8826541293743178
137027,-1.2560998710371503,-1.6538425965196757,1.517074070976384,-0.05834734499078598
137128,-0.530570325361132,0.674022025429508,-0.19269419080249922,-0.3445272711721297
137229,-0.7171082501883533,0.7013994645447421,-0.5869619185850959,-0.557802333828348
137431,-1.7421258619081958,1.4864975736186552,-1.087246807079557,-0.4674137257297263
137532,0.2962456537529399,-0.45521112634812255,-0.8862498219647663,-1.2389052092396629
137633,-0.13000793531703653,-0.7272631544805003,0.4152425591438477,-0.2735462175948527
